en,de
 Resumption of the session ,Wiederaufnahme der Sitzungsperiode
" I declare resumed the session of the European Parliament adjourned on Friday December 1999 , I hope you once again wish you to hope that a new tranche was going to be developed . ","Ich erkläre die am Freitag, dem 17. Dezember unterbrochene Sitzungsperiode des Europäischen Parlaments für wiederaufgenommen, wünsche Ihnen nochmals alles Gute zum Jahreswechsel und hoffe, daß Sie schöne Ferien hatten."
" As you have seen , the Though - millennium sticking "" why our citizens have not seen such natural disasters of natural disasters affecting natural disasters in our Member States . ","Wie Sie feststellen konnten, ist der gefürchtete ""Millenium-Bug "" nicht eingetreten. Doch sind Bürger einiger unserer Mitgliedstaaten Opfer von schrecklichen Naturkatastrophen geworden."
" In the course of the debate , Parliament will be holding a debate during the next few days . ",Im Parlament besteht der Wunsch nach einer Aussprache im Verlauf dieser Sitzungsperiode in den nächsten Tagen.
" Today , I would ask you - and this is the wish of a few Members - all the victims of storms , particularly those in the different countries of the European Union , in particular those countries which have been lost .","Heute möchte ich Sie bitten - das ist auch der Wunsch einiger Kolleginnen und Kollegen -, allen Opfern der Stürme, insbesondere in den verschiedenen Ländern der Europäischen Union, in einer Schweigeminute zu gedenken."
 I would ask you to observe a minute ' s silence . ,"Ich bitte Sie, sich zu einer Schweigeminute zu erheben."
 ( The House rose and observed a minute ' s silence ) ,(Das Parlament erhebt sich zu einer Schweigeminute.)
" Madam President , on a point of order . ","Frau Präsidentin, zur Geschäftsordnung."
" As you know , there was a number of deaths in the press and television over the Sri Lanka . ","Wie Sie sicher aus der Presse und dem Fernsehen wissen, gab es in Sri Lanka mehrere Bombenexplosionen mit zahlreichen Toten."
" One of the people who had recently been visited Sri Lanka , Mr Böge , Mr Böge , was a few months ago . ","Zu den Attentatsopfern, die es in jüngster Zeit in Sri Lanka zu beklagen gab, zählt auch Herr Kumar Ponnambalam, der dem Europäischen Parlament erst vor wenigen Monaten einen Besuch abgestattet hatte."
" Would it be appropriate for you , Madam President , to write the President of the Sri Lanka , Madam President , in a letter to his life and other citizens who call out all of them to do their lives in their forces and to urge them to seek a peaceful solution to this very difficult situation ? ","Wäre es angemessen, wenn Sie, Frau Präsidentin, der Präsidentin von Sri Lanka in einem Schreiben das Bedauern des Parlaments zum gewaltsamen Tod von Herrn Ponnambalam und anderen Bürgern von Sri Lanka übermitteln und sie auffordern würden, alles in ihrem Kräften stehende zu tun, um nach einer friedlichen Lösung dieser sehr schwierigen Situation zu suchen?"
" Yes , Mr Evans , I think it is perfectly appropriate for this purpose . ","Ja, Herr Evans, ich denke, daß eine derartige Initiative durchaus angebracht ist."
" If the House agrees , I shall follow Mr Evans ' s proposal . ","Wenn das Haus damit einverstanden ist, werde ich dem Vorschlag von Herrn Evans folgen."
" Madam President , on a point of order . ","Frau Präsidentin, zur Geschäftsordnung."
 Could you give me a specific explanation of Rule 143 concerning whether or not I would like to ask you to,Könnten Sie mir eine Auskunft zu Artikel 143 im Zusammenhang mit der Unzulässigkeit geben?
 My question concerns the issue which will come on Thursday and which I will then repeat again . ,"Meine Frage betrifft eine Angelegenheit, die am Donnerstag zur Sprache kommen wird und auf die ich dann erneut verweisen werde."
 Parliament will deal with the annual report on Thursday : a report on multiannual programme which proposes that countries which do not meet their annual targets annually to comply with a kind of annual waste management Convention annually . ,"Das Parlament wird sich am Donnerstag mit dem Cunha-Bericht über mehrjährige Ausrichtungsprogramme befassen, der in Absatz 6 vorschlägt, daß Länder, die ihr Soll zur Flottenverkleinerung nicht erfüllen, jährlich mit einer Art Quotenstrafe belegt werden sollen."
 It is intended to impose these penalties despite the principle of relative stability . ,Und zwar sollen derartige Strafen trotz des Grundsatzes der relativen Stabilität verhängt werden.
 I believe that the principle of relative stability is a fundamental legal principle of the common fisheries policy and a proposal to postpone it would be legally inadmissible . ,"Ich meine, daß der Grundsatz der relativen Stabilität einen elementaren Rechtsgrundsatz der gemeinsamen Fischereipolitik darstellt und ein Vorschlag, diesen zu unterlaufen, rechtlich unzulässig wäre."
" I would like to know whether it is possible to raise an objection to a document which , in which it is merely a legislative proposal and whether I am unable to do this on Thursday . ","Ich möchte wissen, ob es möglich ist, einen Einwand gegen ein Dokument zu erheben, bei dem es sich lediglich um einen Bericht und keinen Legislativvorschlag handelt, und ob ich befugt bin, dies am Donnerstag zu tun."
" Just then if you want to raise this question , i.e. to address the question of Thursday at the beginning of the debate on Thursday . ","Genau dann können Sie, wenn Sie wollen, diese Frage ansprechen, d. h. am Donnerstag zu Beginn der Aussprache über den Bericht."
" Unfortunately , the first part of this year - old session of the European Parliament , unfortunately , is that in ever before Thursday in Pretoria , for Thursday , in Pretoria , has been set up for the execution of a young man who has","Die erste diesjährige Tagung des Europäischen Parlaments fällt leider damit zusammen, daß in den Vereinigten Staaten, in Texas, für Donnerstag dieser Woche die Hinrichtung eines zum Tode verurteilten 34jährigen jungen Mannes namens Hicks festgelegt worden ist."
" At the request of a French Member , Mr Bigliardo , has already been tabled a vacuum which many people , including myself , have been signed . ","Auf Wunsch eines französischen Mitglieds, Herrn Zimeray, wurde bereits eine Petition eingereicht, die von vielen, auch von mir selbst, unterzeichnet worden ist."
" I would like to ask you , however , to take account of the line which the European Parliament and the whole of the European Union , but I would ask you to take advantage of your office , the President and the institution you represent , to the President , Mr Dell'Alba , who is responsible for the President of his office , to put an end to the day","Gemäß der vom Europäischen Parlament und von der gesamten Europäischen Union nunmehr ständig vertretenen Linie möchte ich Sie jedoch bitten, den ganzen Einfluß Ihres Amtes und der Institution, die Sie vertreten, bei dem Präsidentschaftskandidaten und Gouverneur von Texas, George W. Bush, der zur Aussetzung der Vollstreckung des Todesurteils und zur Begnadigung des Verurteilten befugt ist, geltend zu machen."
 All these principles have been defended . ,"All dies entspricht den Grundsätzen, die wir stets verteidigt haben."
" Thank you , Mr Goodwill and I shall be happy to do so . ","Vielen Dank, Herr Segni, das will ich gerne tun."
" That is quite right , as Parliament has always represented . ","Das ist ganz im Sinne der Position, die wir als Parlament immer vertreten haben."
" Madam President , I would like to draw your attention to an issue which has arisen in the Chamber . ","Frau Präsidentin! Ich möchte Sie auf einen Fall aufmerksam machen, mit dem sich dieses Parlament immer wieder befaßt hat."
 That is the case of suspects . ,Das ist der Fall von Alexander Nikitin.
 We are pleased to see all the time limits it have identified it clear that access to Russia is also a environmental constitutional right . ,"Wir freuen uns hier alle, daß das Gericht ihn freigesprochen und deutlich gemacht hat, daß auch in Rußland der Zugang zu Umweltinformationen konstitutionelles Recht ist."
" Now , however , he is to speak because the public prosecutor has more than asked . ","Nun ist es aber so, daß er wieder angeklagt werden soll, weil der Staatsanwalt in Berufung geht."
" We know and we have found it very much in very many resolutions - especially during the last plenary part - session of the last plenary part - that this is not merely a legal case and that it is wrong to criticise encephalopathies , since we have the requests of his findings because of his findings of the criminal","Wir wissen und wir haben es in wirklich sehr vielen Entschließungen festgestellt - gerade während der letzten Plenartagung des vergangenen Jahres-, daß dies nicht nur ein juristischer Fall ist und daß es falsch ist, Alexander Nikitin Kriminalität und Verrat vorzuwerfen, weil wir als Betroffene von seinen Ergebnissen einen Nutzen haben."
" These results are the basis for the European programmes to protect the infection of the Sea , and that is why I would ask you to examine a letter letter setting out the most important facts and to examine Parliament ' s position as regards this position and to make it clear to","Diese Ergebnisse sind die Grundlage für die europäischen Programme zum Schutz der Barentsee, und deswegen bitte ich Sie, einen Briefentwurf, der Ihnen die wichtigsten Fakten schildert, zu prüfen und im Sinne der Beschlüsse des Parlaments in Rußland diese Position deutlich zu machen."
" Mrs Schroedter , I am happy to look into the facts of these facts when I received your letter . ","Frau Schroedter, ich bin gerne bereit, die damit zusammenhängenden Fakten zu prüfen, wenn mir Ihr Brief vorliegt."
