en,de
Resumption of the session,Wiederaufnahme der Sitzungsperiode
"I declare resumed the session of the European Parliament adjourned on Friday 17 December 1999, and I would like once again to wish you a happy new year in the hope that you enjoyed a pleasant festive period.","Ich erkläre die am Freitag, dem 17. Dezember 1999 unterbrochene Sitzungsperiode des Europäischen Parlaments für wieder aufgenommen, und ich möchte Ihnen erneut ein glückliches neues Jahr wünschen, in der Hoffnung, dass Sie eine angenehme Festzeit genießen."
"Although, as you will have seen, the dreaded 'millennium bug' failed to materialise, still the people in a number of countries suffered a series of natural disasters that truly were dreadful.","Obwohl der gefürchtete ""Millennium-Fehler"" nicht zustande gekommen ist, haben die Menschen in einigen Ländern immer noch eine Reihe von Naturkatastrophen erlitten, die wirklich schrecklich waren."
"You have requested a debate on this subject in the course of the next few days, during this part-session.","Sie haben in den nächsten Tagen, während dieser Sitzung, eine Aussprache zu diesem Thema beantragt."
"In the meantime, I should like to observe a minute' s silence, as a number of Members have requested, on behalf of all the victims concerned, particularly those of the terrible storms, in the various countries of the European Union.","In der Zwischenzeit möchte ich, wie einige Abgeordnete es gefordert haben, im Namen aller betroffenen Opfer, insbesondere der schrecklichen Stürme, in den verschiedenen Ländern der Europäischen Union eine Schweigeminute einlegen."
"Please rise, then, for this minute' s silence.",Bitte erheben Sie sich also um diese Schweigeminute.
(The House rose and observed a minute' s silence),(Das Parlament erhebt sich zu einer Schweigeminute.)
"Madam President, on a point of order.","Frau Präsidentin, zur Geschäftsordnung."
You will be aware from the press and television that there have been a number of bomb explosions and killings in Sri Lanka.,"Sie wissen aus der Presse und dem Fernsehen, dass es in Sri Lanka eine Reihe von Bombenexplosionen und Tötungen gegeben hat."
"One of the people assassinated very recently in Sri Lanka was Mr Kumar Ponnambalam, who had visited the European Parliament just a few months ago.","Einer der Menschen, die vor kurzem in Sri Lanka ermordet wurden, war Herr Kumar Ponnambalam, der vor wenigen Monaten das Europäische Parlament besucht hatte."
"Would it be appropriate for you, Madam President, to write a letter to the Sri Lankan President expressing Parliament's regret at his and the other violent deaths in Sri Lanka and urging her to do everything she possibly can to seek a peaceful reconciliation to a very difficult situation?","Wäre es angebracht, Frau Präsidentin, einen Brief an die sri-lankische Präsidentin zu schreiben, in dem sie das Bedauern des Parlaments über seinen und die anderen gewalttätigen Todesfälle in Sri Lanka zum Ausdruck bringt und sie auffordert, alles in ihrer Macht Stehende zu tun, um eine friedliche Aussöhnung zu einer sehr schwierigen Situation zu erreichen?"
"Yes, Mr Evans, I feel an initiative of the type you have just suggested would be entirely appropriate.","Ja, Herr Evans, ich halte eine Initiative dieser Art, die Sie soeben vorgeschlagen haben, für völlig angemessen."
"If the House agrees, I shall do as Mr Evans has suggested.","Wenn das Parlament zustimmt, werde ich es tun, wie Herr Evans vorgeschlagen hat."
"Madam President, on a point of order.","Frau Präsidentin, zur Geschäftsordnung."
I would like your advice about Rule 143 concerning inadmissibility.,Ich bitte um Ihren Rat zu Artikel 143 über die Unzulässigkeit.
My question relates to something that will come up on Thursday and which I will then raise again.,"Meine Frage bezieht sich auf etwas, das am Donnerstag auftauchen wird und das ich dann noch einmal ansprechen werde."
The Cunha report on multiannual guidance programmes comes before Parliament on Thursday and contains a proposal in paragraph 6 that a form of quota penalties should be introduced for countries which fail to meet their fleet reduction targets annually.,"Der Bericht Cunha über mehrjährige Ausrichtungsprogramme wird dem Parlament am Donnerstag vorgelegt und enthält in Ziffer 6 einen Vorschlag, eine Form von Quotenstrafen für Länder einzuführen, die ihre Ziele für die Reduzierung der Flotte nicht jährlich erfüllen."
It says that this should be done despite the principle of relative stability.,"Sie sagt, dass dies trotz des Grundsatzes der relativen Stabilität geschehen sollte."
I believe that the principle of relative stability is a fundamental legal principle of the common fisheries policy and a proposal to subvert it would be legally inadmissible.,"Ich glaube, dass der Grundsatz der relativen Stabilität ein grundlegendes Rechtsprinzip der Gemeinsamen Fischereipolitik ist, und ein Vorschlag, ihn zu untergraben, wäre rechtlich unzulässig."
"I want to know whether one can raise an objection of that kind to what is merely a report, not a legislative proposal, and whether that is something I can competently do on Thursday.","Ich möchte wissen, ob man einen solchen Einwand gegen einen bloßen Bericht und nicht einen Legislativvorschlag erheben kann, und ob ich das am Donnerstag kompetent tun kann."
"That is precisely the time when you may, if you wish, raise this question, i.e. on Thursday prior to the start of the presentation of the report.","Genau das ist der Zeitpunkt, an dem Sie, wenn Sie es wünschen, diese Frage stellen können, nämlich am Donnerstag vor Beginn der Vorlage des Berichts."
"Madam President, coinciding with this year' s first part-session of the European Parliament, a date has been set, unfortunately for next Thursday, in Texas in America, for the execution of a young 34 year-old man who has been sentenced to death. We shall call him Mr Hicks.","Frau Präsidentin, in Verbindung mit der ersten Tagung des Europäischen Parlaments in diesem Jahr wurde leider für den nächsten Donnerstag in Texas in Amerika ein Datum für die Hinrichtung eines jungen 34-jährigen Menschen festgelegt, der zum Tode verurteilt wurde, und wir werden ihn Herrn Hicks nennen."
"At the request of a French Member, Mr Zimeray, a petition has already been presented, which many people signed, including myself.","Auf Ersuchen eines französischen Abgeordneten, Herrn Zimeray, wurde bereits eine Petition eingereicht, die viele unterzeichnet haben, auch ich selbst."
