en,de
Resumption of the session,Wiederaufnahme der Sitzungsperiode
"I declare resumed the session of the European Parliament adjourned on Friday 17 December, and I wish you all a happy start to the year and I hope that you enjoyed a nice holiday.","Ich erkläre die am Freitag, dem 17. Dezember unterbrochene Sitzungsperiode des Europäischen Parlaments für wiederaufgenommen, wünsche Ihnen nochmals alles Gute zum Jahreswechsel und hoffe, daß Sie schöne Ferien hatten."
"As you have said, the 'Millenium Bug', which is being feared, has not been entered, but some of our Member States have been victims of terrible natural disasters.","Wie Sie feststellen konnten, ist der gefürchtete ""Millenium-Bug "" nicht eingetreten. Doch sind Bürger einiger unserer Mitgliedstaaten Opfer von schrecklichen Naturkatastrophen geworden."
Parliament wishes to speak during the course of this session in the next few days.,Im Parlament besteht der Wunsch nach einer Aussprache im Verlauf dieser Sitzungsperiode in den nächsten Tagen.
"I would like to ask you today - and this is also the wish of some Members - to reflect on all the victims of the storms, especially in the various countries of the European Union.","Heute möchte ich Sie bitten - das ist auch der Wunsch einiger Kolleginnen und Kollegen -, allen Opfern der Stürme, insbesondere in den verschiedenen Ländern der Europäischen Union, in einer Schweigeminute zu gedenken."
I would ask you to take a minute' s silence.,"Ich bitte Sie, sich zu einer Schweigeminute zu erheben."
(Parliament approved a minute' s silence),(Das Parlament erhebt sich zu einer Schweigeminute.)
"Madam President, on the Rules of Procedure.","Frau Präsidentin, zur Geschäftsordnung."
"As you know from the press and from the television, there have been several bomb explosions in Sri Lanka with a large number of deaths.","Wie Sie sicher aus der Presse und dem Fernsehen wissen, gab es in Sri Lanka mehrere Bombenexplosionen mit zahlreichen Toten."
"Mr Kumar Ponnambalam, who visited the European Parliament just a few months ago, was also one of the victims of the attack in Sri Lanka.","Zu den Attentatsopfern, die es in jüngster Zeit in Sri Lanka zu beklagen gab, zählt auch Herr Kumar Ponnambalam, der dem Europäischen Parlament erst vor wenigen Monaten einen Besuch abgestattet hatte."
"Would it be appropriate if you, Madam President, sent a letter to the President of Sri Lanka to express Parliament' s regret at the death of Mr Ponnambalam and other citizens of Sri Lanka and ask them to do everything in their power to seek a peaceful solution to this very difficult situation?","Wäre es angemessen, wenn Sie, Frau Präsidentin, der Präsidentin von Sri Lanka in einem Schreiben das Bedauern des Parlaments zum gewaltsamen Tod von Herrn Ponnambalam und anderen Bürgern von Sri Lanka übermitteln und sie auffordern würden, alles in ihrem Kräften stehende zu tun, um nach einer friedlichen Lösung dieser sehr schwierigen Situation zu suchen?"
"Yes, Mr Evans, I think that such an initiative is appropriate.","Ja, Herr Evans, ich denke, daß eine derartige Initiative durchaus angebracht ist."
"If the House agrees with this, I shall follow Mr Evans' proposal.","Wenn das Haus damit einverstanden ist, werde ich dem Vorschlag von Herrn Evans folgen."
"Madam President, on the Rules of Procedure.","Frau Präsidentin, zur Geschäftsordnung."
Could you give me an explanation of Article 143 on inadmissibility?,Könnten Sie mir eine Auskunft zu Artikel 143 im Zusammenhang mit der Unzulässigkeit geben?
My question concerns an issue which will be discussed on Thursday and which I shall then refer to once again.,"Meine Frage betrifft eine Angelegenheit, die am Donnerstag zur Sprache kommen wird und auf die ich dann erneut verweisen werde."
"Parliament will be examining the Cunha report on multiannual orientation programmes, proposed in paragraph 6 that countries which do not comply with their own directives on the flotten reduction should be dealt with annually with a type of quota traffic.","Das Parlament wird sich am Donnerstag mit dem Cunha-Bericht über mehrjährige Ausrichtungsprogramme befassen, der in Absatz 6 vorschlägt, daß Länder, die ihr Soll zur Flottenverkleinerung nicht erfüllen, jährlich mit einer Art Quotenstrafe belegt werden sollen."
"Such punishments should be imposed, despite the principle of relative stability.",Und zwar sollen derartige Strafen trotz des Grundsatzes der relativen Stabilität verhängt werden.
I believe that the principle of relative stability is an elemental legal basis for the common fisheries policy and a proposal which would be legally impossible to implement.,"Ich meine, daß der Grundsatz der relativen Stabilität einen elementaren Rechtsgrundsatz der gemeinsamen Fischereipolitik darstellt und ein Vorschlag, diesen zu unterlaufen, rechtlich unzulässig wäre."
I would like to know whether it is possible to oppose a document which is only a report and not a legislative proposal and whether I am fugitive to do so on Thursday.,"Ich möchte wissen, ob es möglich ist, einen Einwand gegen ein Dokument zu erheben, bei dem es sich lediglich um einen Bericht und keinen Legislativvorschlag handelt, und ob ich befugt bin, dies am Donnerstag zu tun."
"If you want to raise this issue, I would like to start the debate on the report on Thursday.","Genau dann können Sie, wenn Sie wollen, diese Frage ansprechen, d. h. am Donnerstag zu Beginn der Aussprache über den Bericht."
"Unfortunately, the first European Parliament meeting was held this week in conjunction with the fact that the United States, Texas, has set out the date for the death of a young 34-year-old man named Hicks.","Die erste diesjährige Tagung des Europäischen Parlaments fällt leider damit zusammen, daß in den Vereinigten Staaten, in Texas, für Donnerstag dieser Woche die Hinrichtung eines zum Tode verurteilten 34jährigen jungen Mannes namens Hicks festgelegt worden ist."
"On the request of a French Member, Mr Zimeray, a petition has already been tabled which many, including myself, have signed.","Auf Wunsch eines französischen Mitglieds, Herrn Zimeray, wurde bereits eine Petition eingereicht, die von vielen, auch von mir selbst, unterzeichnet worden ist."
"However, I would ask you, as the European Parliament and the whole of the European Union, to ensure that your office and the institution which you represent apply to the President and Governor of Texas, George W. Bush, who is responsible for ensuring the full execution of the death sentence and for imposing the sentence.","Gemäß der vom Europäischen Parlament und von der gesamten Europäischen Union nunmehr ständig vertretenen Linie möchte ich Sie jedoch bitten, den ganzen Einfluß Ihres Amtes und der Institution, die Sie vertreten, bei dem Präsidentschaftskandidaten und Gouverneur von Texas, George W. Bush, der zur Aussetzung der Vollstreckung des Todesurteils und zur Begnadigung des Verurteilten befugt ist, geltend zu machen."
All of this corresponds to the principles which we have always defended.,"All dies entspricht den Grundsätzen, die wir stets verteidigt haben."
"Thank you very much, Mr Segni, I would like to do so.","Vielen Dank, Herr Segni, das will ich gerne tun."
This is in the spirit of the position which we as a Parliament always have.,"Das ist ganz im Sinne der Position, die wir als Parlament immer vertreten haben."
"Madam President, I would like to draw your attention to a case in which this Parliament has repeatedly resigned.","Frau Präsidentin! Ich möchte Sie auf einen Fall aufmerksam machen, mit dem sich dieses Parlament immer wieder befaßt hat."
This is the case of Alexander Nikitin.,Das ist der Fall von Alexander Nikitin.
We are all delighted that the Court of Justice has spoken to him and has made it clear that there is also a constitutional right in Russia to access to environmental information.,"Wir freuen uns hier alle, daß das Gericht ihn freigesprochen und deutlich gemacht hat, daß auch in Rußland der Zugang zu Umweltinformationen konstitutionelles Recht ist."
"Now, however, he should be brought back to prison because the prosecutor is in prison.","Nun ist es aber so, daß er wieder angeklagt werden soll, weil der Staatsanwalt in Berufung geht."
"We know, and we have found in very many resolutions - especially during the last plenary part-session last year - that this is not only a legal case and that it is wrong to propose to Alexander Nikitin criminality and a rat because we, as a victim of his results, have a benefit.","Wir wissen und wir haben es in wirklich sehr vielen Entschließungen festgestellt - gerade während der letzten Plenartagung des vergangenen Jahres-, daß dies nicht nur ein juristischer Fall ist und daß es falsch ist, Alexander Nikitin Kriminalität und Verrat vorzuwerfen, weil wir als Betroffene von seinen Ergebnissen einen Nutzen haben."
"These results are the basis for the European programme for the protection of the Barents and, therefore, I would ask you to consider a draft letter which outlines the most important facts and to make this position clear in the sense of Parliament' s decisions in Russia.","Diese Ergebnisse sind die Grundlage für die europäischen Programme zum Schutz der Barentsee, und deswegen bitte ich Sie, einen Briefentwurf, der Ihnen die wichtigsten Fakten schildert, zu prüfen und im Sinne der Beschlüsse des Parlaments in Rußland diese Position deutlich zu machen."
